tt_Name,tt_Strength,tt_Skill,tt_Size,tt_Wisecracks,tt_Mystique,tt_TTR,tt_AAN
Black Panther,28,10,9,1,70,6,0
She Hulk,47,6,12,3,30,5,1
Star Lord,16,5,8,5,55,8,2
War Machine,29,8,13,1,25,7,3
Green Goblin,26,9,11,3,25,9,4
Electro,20,4,10,1,35,8,5
Thor,30,3,11,1,75,9,6
Drax,25,3,12,2,30,8,7
Dr Strange,15,7,8,2,80,8,8
Hulk,50,2,15,1,20,9,9
Venom,40,4,10,1,35,8,10
Iron Fist,25,10,9,2,25,6,11
Dare Devil,20,8,9,1,50,5,12
Wasp,10,5,1,1,20,5,13
Ant Man,10,10,1,1,25,7,14
Agent Venom,26,5,10,1,55,7,15
Luke Cage,25,10,9,2,25,6,16
Dr Octopus,24,8,11,1,25,9,17
Vision,28,3,9,1,40,5,18
Gamora,18,10,7,2,55,8,19
Carnage,40,2,12,1,30,6,20
Bucky Barnes Winter Soldier,18,5,8,1,30,6,21
Groot,45,2,14,0,60,8,22
Rocket,10,10,3,5,45,8,23
Lizard,24,6,11,1,25,7,24
Ultron,29,10,12,1,40,7,25
Thanos,44,5,13,1,60,8,26
Spider Man,24,10,7,4,50,10,27
Iron Man,30,9,10,5,20,10,28
Captain America,28,10,10,2,25,9,29
